PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
31784, , 8.112508, -0.093069, 2.448102, -0.188945, 1.112299, -1.414058, 0.081724, -2.821880, 0.006001, -0.718750, -0.453369, -0.221436, 0.080769, -0.000939, 0.025622, 0.999900, 0.000409, -0.014109, 0.000030, -2.796214, -66.357841, 98.560917, , , 0.000000, , , 
31785, , 8.123389, -0.280361, 2.136342, -0.005000, 1.187869, -1.493055, 0.103567, -2.822227, 0.015369, -0.729736, -0.447021, -0.202881, 0.080922, -0.002809, 0.022505, 0.999900, 0.000518, -0.014111, 0.000077, -2.932985, -67.961728, 98.783677, , , 0.000000, , , 
31786, , 8.254496, -0.356404, 2.047964, 0.079858, 1.089918, -1.371199, 0.106071, -2.845329, 0.022670, -0.736084, -0.447021, -0.186035, 0.082243, -0.003566, 0.021649, 0.999899, 0.000530, -0.014226, 0.000113, -3.133411, -69.591743, 99.065504, , , 0.000000, , , 
31787, , 8.422745, -0.296902, 1.842474, 0.017057, 1.095560, -1.255817, 0.080572, -2.822361, 0.021628, -0.738281, -0.444824, -0.161133, 0.083957, -0.002968, 0.019610, 0.999900, 0.000403, -0.014111, 0.000108, -3.380681, -71.195465, 99.376246, , , 0.000000, , , 
31788, , 8.570938, -0.282558, 1.706234, 0.006361, 1.029109, -1.130060, 0.060696, -2.781576, 0.024453, -0.740479, -0.447021, -0.144287, 0.085461, -0.002821, 0.018251, 0.999903, 0.000303, -0.013907, 0.000122, -3.698727, -72.787949, 99.748805, , , 0.000000, , , 
31789, , 8.758241, -0.179927, 1.625764, -0.088825, 0.909471, -0.950280, 0.038590, -2.745507, 0.027150, -0.742432, -0.447021, -0.123535, 0.087348, -0.001791, 0.017457, 0.999906, 0.000193, -0.013727, 0.000136, -4.091049, -74.347381, 100.182204, , , 0.000000, , , 
31790, , 8.941847, -0.301326, 1.488409, 0.033355, 0.862664, -0.784250, 0.046491, -2.650031, 0.021804, -0.750977, -0.447021, -0.102539, 0.089211, -0.003007, 0.016066, 0.999912, 0.000232, -0.013250, 0.000109, -4.550448, -75.863061, 100.686646, , , 0.000000, , , 
31791, , 8.921157, -0.357440, 1.239410, 0.089793, 0.872256, -0.841756, 0.105659, -2.568232, 0.004068, -0.753174, -0.449219, -0.083740, 0.089043, -0.003580, 0.013536, 0.999917, 0.000528, -0.012841, 0.000020, -5.009451, -77.320623, 101.221814, , , 0.000000, , , 
31792, , 9.043325, -0.393502, 1.123499, 0.134511, 0.786058, -0.726522, 0.177295, -2.541932, 0.001053, -0.748779, -0.453613, -0.064941, 0.090281, -0.003945, 0.012380, 0.999919, 0.000886, -0.012709, 0.000005, -5.556059, -78.773286, 101.885834, , , 0.000000, , , 
31793, , 9.232892, -0.229352, 0.990475, -0.022549, 0.704361, -0.551008, 0.179801, -2.535547, 0.005089, -0.753174, -0.447021, -0.046143, 0.092194, -0.002301, 0.011072, 0.999919, 0.000899, -0.012677, 0.000025, -6.245948, -80.209741, 102.695633, , , 0.000000, , , 
31794, , 9.494902, -0.283535, 0.869663, 0.034842, 0.639393, -0.295584, 0.063825, -2.458329, 0.007377, -0.755371, -0.445068, -0.027588, 0.094833, -0.002835, 0.009862, 0.999924, 0.000319, -0.012291, 0.000037, -7.289432, -81.610336, 103.790833, , , 0.000000, , , 
31795, , 9.437716, -0.516415, 0.653780, 0.269888, 0.644434, -0.364286, 0.114465, -2.373175, 0.001952, -0.752930, -0.449219, -0.010742, 0.094291, -0.005167, 0.007654, 0.999929, 0.000572, -0.011866, 0.000010, -8.628474, -82.948483, 105.206577, , , 0.000000, , , 
31796, , 9.363846, -0.327727, 0.563764, 0.100939, 0.482304, -0.439320, 0.241334, -2.351037, -0.003481, -0.750977, -0.445068, 0.008057, 0.093564, -0.003287, 0.006734, 0.999930, 0.001207, -0.011755, -0.000017, -10.497006, -84.279464, 107.227230, , , 0.000000, , , 
31797, , 9.540093, -0.019902, 0.437425, -0.197874, 0.371014, -0.272024, 0.176785, -2.306514, 0.004150, -0.750977, -0.445068, 0.026855, 0.095342, -0.000202, 0.005474, 0.999933, 0.000884, -0.011532, 0.000021, -13.487641, -85.563174, 110.332061, , , 0.000000, , , 
31798, , 9.742443, 0.003702, 0.186071, -0.231689, 0.415968, -0.080302, 0.084277, -2.193172, 0.019302, -0.748535, -0.449463, 0.041504, 0.097396, 0.000045, 0.002929, 0.999940, 0.000421, -0.010966, 0.000097, -18.870479, -86.769979, 115.776464, , , 0.000000, , , 
31799, , 9.702787, -0.026623, 0.247552, -0.170146, 0.153143, -0.109577, 0.094002, -2.051976, 0.020333, -0.746582, -0.445068, 0.055908, 0.096996, -0.000258, 0.003471, 0.999947, 0.000470, -0.010260, 0.000102, -29.097458, -87.836198, 126.069808, , , 0.000000, , , 
31800, , 9.625149, 0.092601, 0.393573, -0.247379, -0.204170, -0.184554, 0.033216, -2.009440, 0.021530, -0.744141, -0.449463, 0.074951, 0.096205, 0.000936, 0.004903, 0.999950, 0.000166, -0.010047, 0.000108, -55.334011, -88.703411, 152.337616, , , 0.000000, , , 
31801, , 9.813395, 0.024061, -0.056702, -0.215674, 0.059626, -0.001818, -0.022450, -2.027656, 0.022377, -0.746338, -0.447266, 0.089600, 0.098133, 0.000252, 0.000428, 0.999949, -0.000112, -0.010138, 0.000112, -111.103039, -88.846849, -151.892221, , , 0.000000, , , 
31802, , 10.147425, -0.029222, -0.865569, -0.245701, 0.665466, 0.346724, -0.012054, -1.999389, 0.024728, -0.742188, -0.445312, 0.106201, 0.101554, -0.000280, -0.007641, 0.999950, -0.000060, -0.009997, 0.000124, -145.049941, -88.093026, -117.940144, , , 0.000000, , , 
31803, , 10.269013, -0.054619, -1.317461, -0.256574, 0.918018, 0.496514, 0.040739, -1.860254, 0.026859, -0.739746, -0.449463, 0.110352, 0.102807, -0.000530, -0.012219, 0.999957, 0.000204, -0.009301, 0.000134, -157.105642, -87.153308, -105.850019, , , 0.000000, , , 
31804, , 10.063867, -0.082003, -1.153477, -0.187772, 0.583435, 0.298707, 0.007612, -1.775300, 0.032762, -0.737793, -0.447510, 0.133301, 0.100736, -0.000803, -0.010641, 0.999961, 0.000038, -0.008876, 0.000164, -162.771325, -86.187280, -100.169262, , , 0.000000, , , 
31805, , 9.784910, -0.193431, -0.996233, -0.035518, 0.283587, 0.020422, 0.013373, -1.807866, 0.032880, -0.735596, -0.443115, 0.139404, 0.097934, -0.001918, -0.009077, 0.999959, 0.000067, -0.009039, 0.000164, -166.231245, -85.194256, -96.690847, , , 0.000000, , , 
