PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
62024, , 6.706691, -1.445723, -1.871366, 3.247197, -0.529900, -3.509105, -1.294326, 5.635979, 0.975243, -0.611816, -0.573242, 0.543457, 0.066576, -0.014261, -0.020502, 0.999570, -0.006471, 0.028176, 0.004876, 156.615864, -59.417414, -47.103691, , , 0.000000, , , 
62025, , 7.578473, -0.311733, -2.436898, 2.200599, -0.431710, -2.169303, -1.084554, 5.944605, 1.044620, -0.641846, -0.577637, 0.490967, 0.075032, -0.002864, -0.026591, 0.999530, -0.005422, 0.029718, 0.005222, 154.426029, -62.764281, -45.318067, , , 0.000000, , , 
62026, , 8.441129, 0.804307, -3.044885, 1.073061, -0.113961, -0.869593, -1.070057, 6.252701, 1.042191, -0.678955, -0.575684, 0.447266, 0.083361, 0.008307, -0.033110, 0.999483, -0.005349, 0.031258, 0.005210, 151.478005, -66.255366, -42.702602, , , 0.000000, , , 
62027, , 9.818569, 1.229133, -2.986741, 0.832318, -0.122371, 0.487230, -1.181693, 6.522050, 1.017627, -0.713867, -0.567383, 0.392334, 0.097077, 0.012598, -0.033119, 0.999438, -0.005907, 0.032604, 0.005087, 147.335802, -69.769602, -38.972604, , , 0.000000, , , 
62028, , 11.291639, 1.488006, -2.613206, 0.771078, -0.181963, 1.843230, -1.301236, 6.851616, 0.994382, -0.744141, -0.562988, 0.335449, 0.111856, 0.015251, -0.030075, 0.999380, -0.006505, 0.034251, 0.004971, 141.030404, -73.317515, -33.086728, , , 0.000000, , , 
62029, , 12.886907, 1.570576, -2.399389, 0.769481, 0.156293, 3.363097, -1.459963, 7.170160, 0.976425, -0.769531, -0.565186, 0.267578, 0.127818, 0.016133, -0.028706, 0.999319, -0.007298, 0.035843, 0.004881, 131.051641, -76.674098, -23.632153, , , 0.000000, , , 
62030, , 14.434043, 1.845100, -2.959747, 0.253591, 1.433744, 4.961540, -1.507996, 7.505592, 0.955730, -0.795166, -0.563232, 0.204346, 0.143002, 0.018886, -0.035123, 0.999256, -0.007538, 0.037519, 0.004777, 114.220490, -79.506928, -7.298200, , , 0.000000, , , 
62031, , 15.650181, 3.187114, -4.047754, -1.569925, 3.163595, 6.276287, -1.620678, 7.707465, 0.933024, -0.813965, -0.558838, 0.132080, 0.154631, 0.032234, -0.046722, 0.999214, -0.008101, 0.038527, 0.004664, 88.592310, -80.939952, 17.747210, , , 0.000000, , , 
62032, , 17.493548, 3.919375, -4.995764, -2.761106, 5.220625, 7.830377, -2.087293, 7.740764, 0.937177, -0.828125, -0.550049, 0.053223, 0.172633, 0.039435, -0.057081, 0.999186, -0.010434, 0.038693, 0.004685, 60.278740, -80.238789, 45.240080, , , 0.000000, , , 
62033, , 18.718826, 4.425452, -6.224120, -3.950562, 7.769611, 8.422495, -2.250863, 7.735867, 1.051241, -0.830566, -0.545410, -0.021240, 0.184349, 0.044470, -0.069909, 0.999175, -0.011251, 0.038669, 0.005255, 39.412380, -77.808223, 65.164907, , , 0.000000, , , 
