PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
64286, , 1.483100, 1.986077, -3.065431, 3.344103, -2.058201, -10.161261, 1.378696, 0.080157, 0.221175, -0.653564, 0.300537, -0.691895, 0.014797, 0.020088, -0.030522, 0.999976, 0.006893, 0.000401, 0.001106, 8.382221, -55.300409, -69.122004, , , 0.000000, , , 
64287, , 1.565645, 1.889548, -2.820184, 3.196508, -1.933732, -9.946564, 1.183213, -0.198660, 0.241307, -0.653320, 0.298584, -0.689697, 0.015661, 0.019081, -0.028074, 0.999981, 0.005916, -0.000993, 0.001207, 8.864127, -55.466302, -68.881409, , , 0.000000, , , 
64288, , 2.101396, 1.920369, -2.345091, 3.143534, -1.834041, -9.214811, 1.071813, -0.488256, 0.272381, -0.655273, 0.292236, -0.689941, 0.021045, 0.019357, -0.023296, 0.999982, 0.005359, -0.002441, 0.001362, 9.316089, -55.765797, -68.685488, , , 0.000000, , , 
64289, , 2.615508, 1.935861, -1.336716, 2.819419, -1.354924, -8.203286, 0.800720, -0.747191, 0.317401, -0.659424, 0.294434, -0.691895, 0.026174, 0.019453, -0.013192, 0.999984, 0.004004, -0.003736, 0.001587, 9.583551, -56.248151, -68.455153, , , 0.000000, , , 
64290, , 3.141146, 1.739296, -0.171201, 2.220970, -0.870632, -7.123749, 0.511412, -1.056089, 0.365111, -0.667725, 0.290283, -0.683594, 0.031388, 0.017454, -0.001502, 0.999981, 0.002557, -0.005280, 0.001826, 9.716177, -56.878431, -68.263538, , , 0.000000, , , 
64291, , 3.995175, 1.312243, 1.093397, 1.425510, -0.574878, -5.748697, 0.285034, -1.388613, 0.382328, -0.682373, 0.294434, -0.675293, 0.039849, 0.013183, 0.011230, 0.999973, 0.001425, -0.006943, 0.001912, 9.718545, -57.726301, -68.074328, , , 0.000000, , , 
64292, , 4.200253, 1.116105, 2.340376, 0.687603, 0.178409, -4.928021, 0.191780, -1.643034, 0.373018, -0.690674, 0.298584, -0.666748, 0.041787, 0.011216, 0.023758, 0.999964, 0.000959, -0.008215, 0.001865, 9.743438, -58.689011, -67.974962, , , 0.000000, , , 
64293, , 4.289921, 1.284177, 4.064532, -0.005501, 1.555156, -3.968624, 0.041951, -2.064949, 0.339568, -0.703369, 0.300781, -0.654297, 0.042455, 0.012906, 0.041088, 0.999945, 0.000210, -0.010325, 0.001698, 9.749239, -59.922555, -67.960925, , , 0.000000, , , 
64294, , 6.331143, 1.593156, 6.638345, -0.636837, 2.795000, -0.954514, -0.509551, -2.447570, 0.257909, -0.720215, 0.311279, -0.631104, 0.062472, 0.016183, 0.067110, 0.999921, -0.002548, -0.012238, 0.001290, 9.615429, -61.328608, -68.143067, , , 0.000000, , , 
64295, , 10.838722, 1.763344, 11.413129, -1.992966, 4.713621, 5.175424, -1.370861, -2.355281, 0.171265, -0.737061, 0.315430, -0.616455, 0.107019, 0.018513, 0.115272, 0.999907, -0.006854, -0.011776, 0.000856, 9.015744, -62.706835, -68.367188, , , 0.000000, , , 
64296, , 15.959591, -0.022679, 16.535366, -5.076412, 5.912033, 11.806571, -1.201239, -1.508288, -0.071364, -0.743408, 0.323730, -0.608154, 0.158343, 0.000715, 0.166549, 0.999953, -0.006006, -0.007541, -0.000357, 8.667020, -63.553349, -68.748542, , , 0.000000, , , 
64297, , 18.133960, -0.241282, 18.481177, -5.919163, 6.668855, 14.496489, 0.598587, -0.939802, -0.147366, -0.747559, 0.317383, -0.601807, 0.180466, -0.003101, 0.185653, 0.999984, 0.002993, -0.004699, -0.000737, 9.320405, -64.088918, -69.097613, , , 0.000000, , , 
64298, , 19.832041, 2.318130, 17.406182, -3.188450, 6.550996, 15.654276, 0.945039, -1.115410, -0.089768, -0.757568, 0.309326, -0.597900, 0.197355, 0.022266, 0.175271, 0.999973, 0.004725, -0.005577, -0.000449, 10.191107, -64.708976, -69.463422, , , 0.000000, , , 
64299, , 19.332311, 1.972935, 15.101584, -2.630024, 5.006755, 14.139333, -0.336393, -0.931473, 0.108399, -0.760010, 0.323730, -0.589355, 0.192606, 0.020089, 0.151880, 0.999988, -0.001682, -0.004657, 0.000542, 10.041893, -65.250803, -69.510736, , , 0.000000, , , 
64300, , 16.236064, -0.641750, 10.885293, -3.329731, 1.825929, 9.372951, -0.551584, -0.322817, 0.316243, -0.762207, 0.323730, -0.593506, 0.162194, -0.005860, 0.109131, 0.999994, -0.002758, -0.001614, 0.001581, 9.401905, -65.462642, -69.155074, , , 0.000000, , , 
64301, , 12.164601, -1.364536, 6.865760, -2.602050, -0.047784, 3.978792, 0.511559, 0.326971, 0.449897, -0.758057, 0.327881, -0.595459, 0.121789, -0.013547, 0.068424, 0.999993, 0.002558, 0.001635, 0.002249, 9.016798, -65.314928, -68.423086, , , 0.000000, , , 
